"CountryName","Year","GDPCapita","RenewEnergyPct","GGTonnesCapita"
"Algeria",2012,4.58132751724446,0.00190373797304754,4.71351302384508
"Angola",2012,3.97260095029394,0.571752699706323,1.83627967014672
"Argentina",2012,11.9815760696073,0.0877257826332822,9.03416787540784
"Armenia",2012,3.48972888909098,0.0656787286973008,4.13632887636572
"Australia",2012,53.3218793380913,0.0844266614733211,33.5127491032813
"Austria",2012,47.9515567754438,0.344505992144591,10.7307600078368
"Azerbaijan",2012,5.8200798474712,0.0284552172971103,6.08201328438768
"Bangladesh",2012,0.842053283162042,0.382997229747086,1.18062377552243
"Belarus",2012,6.26493185301266,0.0724939413080488,11.5857183802052
"Belgium",2012,44.3059581527407,0.0738454222614672,11.9851487832908
"Benin",2012,0.747276159654961,0.505673841393421,3.336695598612
"Bosnia and Herzegovina",2012,4.48158429002771,0.152743589615979,7.08083420415132
"Botswana",2012,6.64112542354804,0.238516654375521,38.4984198189897
"Brazil",2012,11.5572673689406,0.436265127763827,14.7697359755691
"Brunei Darussalam",2012,31.8517006205319,0.000147907958516751,36.5685035376253
"Cambodia",2012,0.87047486517117,0.726311873998056,8.58936061475669
"Cameroon",2012,1.18790673333643,0.7811013984318,4.65948854423346
"Canada",2012,48.7211802997398,0.205987217759522,29.5545390610407
"Chile",2012,13.9636654022665,0.302726133007203,6.94069814382667
"China",2012,5.27504578783486,0.18362548391687,9.22096447021718
"Colombia",2012,6.78959168622107,0.262744366573836,3.69897615949553
"Congo, Dem. Rep.",2012,0.334352204129323,0.959568960827503,11.4135447877989
"Congo, Rep.",2012,3.00745835972989,0.481863066589929,8.33932588123647
"Costa Rica",2012,8.57271440826411,0.386240329941807,2.63724619257566
"Cote d'Ivoire",2012,1.24819121217003,0.743988993949229,1.58758139504544
"Croatia",2012,13.6403454912955,0.199681308404715,7.12844426802305
"Cuba",2012,6.00608024717814,0.188740932571624,4.621366563891
"Czech Republic",2012,19.902093818532,0.109261400017188,13.2204611494768
"Denmark",2012,57.8117346806697,0.27563600720041,9.60431591098682
"Dominican Republic",2012,5.59724884098924,0.13192353574874,3.28852447493852
"Ecuador",2012,5.14032057852104,0.133734071374082,3.42077218064556
"Egypt, Arab Rep.",2012,2.65878747641583,0.054994256110512,3.44964550392059
"El Salvador",2012,3.67326288721449,0.340116111235761,2.07136151355898
"Estonia",2012,16.6779874474318,0.249085515162449,17.6100776073278
"Ethiopia",2012,0.392205058054653,0.934906201930365,2.00986803506853
"Finland",2012,46.2803116050423,0.391158770869893,12.758276452226
"Gabon",2012,10.0306295312723,0.695713728500493,21.4260069803215
"Georgia",2012,3.46967168907551,0.286926218930002,3.82424818151804
"Germany",2012,44.22365407233,0.123840800256717,11.8334718323677
"Ghana",2012,1.56995590485655,0.494875219320513,4.21946094737006
"Greece",2012,22.8318860868615,0.138954403683446,9.1055745209419
"Guatemala",2012,2.88489742908403,0.662195613497278,2.05061776159775
"Haiti",2012,0.698813709583944,0.83090350574474,0.858743766383078
"Hong Kong SAR, China",2012,34.0648766188689,0.0105731360254894,8.19521940741706
"Hungary",2012,13.1189155165825,0.10185499566551,6.3494053744257
"Iceland",2012,42.5914191752257,0.781393236888574,17.195443920164
"India",2012,1.52283257281856,0.389906216330861,2.37647954275997
"Indonesia",2012,3.42699168006335,0.370628533793735,3.14690179176586
"Iran, Islamic Rep.",2012,5.95161375209339,0.00929497113935958,7.23694884737616
"Iraq",2012,5.14997489720421,0.0158612909812262,4.7190754553442
"Ireland",2012,49.2954279828993,0.0695511278314283,13.6111654317107
"Israel",2012,32.0007240566269,0.0867849741480222,10.6244149435779
"Italy",2012,34.8873730078628,0.120920152700607,8.10608488942829
"Jamaica",2012,4.92533097053015,0.146560722397136,5.71471003580454
"Japan",2012,43.6581733764975,0.0448148729400944,11.5933021232397
"Jordan",2012,3.97752650027204,0.0306691904519934,3.88859604769514
"Kazakhstan",2012,9.88643120821564,0.013582612145149,21.8267477179894
"Kenya",2012,1.04312388847516,0.785326626787352,1.27640560593228
"Korea, Rep.",2012,23.2141266452072,0.0159882449920394,13.3786047412534
"Kyrgyz Republic",2012,0.905165668802713,0.224759417166349,2.46018355771881
"Latvia",2012,12.8928503230116,0.40366469498026,6.85434375053224
"Lebanon",2012,8.04687369660245,0.0497238470129638,4.13706541988274
"Libya",2012,9.22853552728468,0.0169168751697216,13.0708047767218
"Lithuania",2012,13.6849579359741,0.242753746699542,9.85423335259175
"Macedonia, FYR",2012,4.63127969648583,0.164684817692157,6.2786620372672
"Malaysia",2012,9.75862121554262,0.0679578575814493,9.61680634567561
"Malta",2012,19.9513560532705,0.0260527016389965,4.58005685411405
"Mexico",2012,9.31906437046624,0.0935089435158097,5.43474826491842
"Moldova",2012,1.7252583938038,0.0466681646773929,3.18881006103549
"Mongolia",2012,3.37262716494393,0.0321669606007016,9.23829181553103
"Morocco",2012,3.01472703258224,0.113375396476102,2.43864455105689
"Mozambique",2012,0.45311291435341,0.884371895827227,14.7790524462689
"Namibia",2012,5.43571419554635,0.329402578329674,16.6034751389314
"Nepal",2012,0.630589595796001,0.847202688511678,1.48225279738098
"Netherlands",2012,50.2159537467881,0.0465483804555953,11.6904928754581
"New Zealand",2012,35.083105846438,0.307800698457796,17.7244118512875
"Nicaragua",2012,1.66838884571865,0.531203971894805,2.77742878980998
"Nigeria",2012,2.39933481033819,0.864723026264126,1.78916669538703
"Norway",2012,88.5848285936611,0.580179485735573,12.6603183962205
"Pakistan",2012,1.06360577998683,0.454876602788976,2.08427695981163
"Panama",2012,9.43328603320685,0.228648390695006,4.34022692435954
"Paraguay",2012,3.23575205370423,0.626775121178113,7.97031870394781
"Peru",2012,5.55435647262463,0.282498804521109,2.48043808502317
"Philippines",2012,2.29879144333364,0.294027836263597,1.74236842103954
"Portugal",2012,21.3545014952699,0.255642514762682,6.89731759313538
"Romania",2012,8.51832291889489,0.216788334102372,6.07049619290703
"Russian Federation",2012,11.4934122670203,0.0324500315811185,19.5765759606347
"Saudi Arabia",2012,20.6965767311125,8.57538311969361e-05,18.6164465710245
"Senegal",2012,0.99714044630939,0.513647277388253,3.93214420951937
"Singapore",2012,49.0007062012779,0.00517608066468923,10.524413052705
"Slovak Republic",2012,17.2330855495923,0.104808356583089,8.56229265835378
"Slovenia",2012,22.8541252943617,0.19321734711102,10.2445889393023
"South Africa",2012,7.56368410334739,0.169338140808662,8.60670227894155
"Spain",2012,29.5087822260003,0.157452779323123,7.44568196868376
"Sri Lanka",2012,3.28616861143409,0.608586843808416,1.49098248679711
"Sudan",2012,1.66835249659712,0.639678587066101,13.0456297032172
"Sweden",2012,52.5198565348027,0.499131719386059,6.90883529363968
"Switzerland",2012,74.8236613001013,0.226829471706078,6.7661670641646
"Tanzania",2012,0.754385396184341,0.881735242247949,4.83810641792998
"Thailand",2012,5.48839619067671,0.230230560779748,6.55724534811068
"Togo",2012,0.517126881167067,0.727104869014529,3.39953748859997
"Trinidad and Tobago",2012,15.8965605177017,0.00324166135288906,45.6987813229638
"Tunisia",2012,4.13749200706933,0.130479095374502,3.6855494175026
"Turkey",2012,10.851574259176,0.128350349822689,5.95383993131566
"Ukraine",2012,3.15397504028998,0.028335707961044,8.88069748970375
"United Arab Emirates",2012,35.9330595738021,0.00133041001442044,22.8860941353301
"United Kingdom",2012,38.9293084565094,0.0435069563220353,9.19587165638831
"United States",2012,49.4811586539983,0.0791839642846153,20.196712931449
"Uruguay",2012,12.9132596921367,0.463742560180793,10.07957585334
"Uzbekistan",2012,1.54798156043462,0.0237391619326812,5.95219906277472
"Venezuela, RB",2012,14.5148127778856,0.111975413131122,9.44326124131371
"Vietnam",2012,1.4596373688229,0.355792424877634,3.49810683210056
"Yemen, Rep.",2012,1.08073087834143,0.0100075568537744,1.64469596865434
"Zambia",2012,1.55711323465631,0.881521280758613,21.6584360059811
"Zimbabwe",2012,0.800378144497998,0.756025323245236,4.94716229247577
